stock symbol,name,macro,sector,industry,basic_industry,total_shares
NITINSPIN,NITIN SPINNERS LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
NITIRAJ,NITIRAJ ENGINEERS LTD,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
NKIND,NK INDUSTRIES LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,0.0
NOCIL,NOCIL LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
HAVISHA,SRI HAVISHA HOSP & INFR L,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
LPDC,LANDMARK PR.DEV.CO.LTD,Consumer Discretionary,Realty,Realty,Real Estate related services,0.0
NOIDATOLL,NOIDA TOLL BRIDGE CO LTD,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,186195002.0
NORBTEAEXP,NORBEN TEA & EXPORTS LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,0.0
NORTHARC,NORTHERN ARC CAPITAL LTD,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.0
NOVAAGRI,NOVA AGRITECH LIMITED,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,0.0
NPBET,TATAAML - NPBET,,,,,0.0
NPST,NETWORK PEOPLE SRV TECH L,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),0.0
NRAIL,N R AGARWAL INDS LTD,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,0.0
NRBBEARING,NRB BEARING LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
NRL,NUPUR RECYCLERS LIMITED,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals,0.0
NSIL,NALWA SONS INVESTMENT LTD,Financial Services,Financial Services,Finance,Investment Company,0.0
NUCLEUS,NUCLEUS SOFTWARE EXPORTS,Information Technology,Information Technology,IT - Software,Software Products,0.0
NURECA,NURECA LIMITED,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,0.0
NV20,KOTAKMAMC - KTKNV20ETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
NV20BEES,NIP IND ETF ETF NV20,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
NV20IETF,ICICI PRUDENTIAL NV20 ETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
OAL,ORIENTAL AROMATICS LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
OBCL,ORISSA BENGAL CARRIER LTD,Services,Services,Transport Services,Logistics Solution Provider,21082790.0
OCCLLTD,OCCL LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,0.0
OILCOUNTUB,OIL COUNTRY TUBULAR LTD,Energy,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services,0.0
OILIETF,ICICIPRAMC - OILIETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
OMAXAUTO,OMAX AUTOS LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
OMAXE,OMAXE LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
OMFREIGHT,OM FREIGHT FORWARDERS LTD,Services,Services,Transport Services,Logistics Solution Provider,33675438.0
OMINFRAL,OM INFRA LIMITED,Industrials,Construction,Construction,Civil Construction,0.0
OMNI,OMNITECH ENGINEERING LTD,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
ONELIFECAP,ONELIFE CAP ADVISORS LTD,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
ONEPOINT,ONE POINT ONE SOL LTD,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),0.0
ONMOBILE,ONMOBILE GLOBAL LTD.,Consumer Discretionary,Media Entertainment & Publication,Media,Web based media and service,0.0
ONWARDTEC,ONWARD TECHNOLOGIES LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
OPTIEMUS,OPTIEMUS INFRACOM LTD,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,0.0
ORBTEXP,ORBIT EXPORTS LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
ORCHASP,ORCHASP LIMITED,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
ORCHPHARMA,ORCHID PHARMA LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
ORICONENT,ORICON ENTERPRISES LTD,Industrials,Capital Goods,Industrial Products,Packaging,0.0
ORIENTALTL,ORIENTAL TRIMEX LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,0.0
ORIENTBELL,ORIENT BELL LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,0.0
ORIENTCEM,ORIENT CEMENT LTD.,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,0.0
ORIENTCER,ORIENT CERATECH LIMITED,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,0.0
ORIENTELEC,ORIENT ELECTRIC LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,0.0
ORIENTHOT,ORIENT HOTELS LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
ORIENTLTD,ORIENT PRESS LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,0.0
ORIENTPPR,ORIENT PAPER AND INDS LTD,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,0.0
ORIENTTECH,ORIENT TECHNOLOGIES LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
ORISSAMINE,ORISSA MIN DEV CO LTD,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,0.0
ORKLAINDIA,ORKLA INDIA LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,0.0
OSIAHYPER,OSIA HYPER RETAIL LIMITED,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,0.0
OSWALAGRO,OSWAL AGRO MILLS LTD,Services,Services,Commercial Services & Supplies,Trading & Distributors,0.0
OSWALGREEN,OSWAL GREENTECH LIMITED,Financial Services,Financial Services,Finance,Investment Company,0.0
OSWALPUMPS,OSWAL PUMPS LIMITED,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,0.0
OSWALSEEDS,SHREEOSWAL S AND CHE LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,0.0
PACEDIGITK,PACE DIGITEK LIMITED,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,0.0
PAISALO,PAISALO DIGITAL LIMITED,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.0
PAKKA,PAKKA LIMITED,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,0.0
PALASHSECU,PALASH SECURITIES LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,0.0
PALREDTEC,PALRED TECHNOLOGIES LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
PANACEABIO,PANACEA BIOTEC LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
011NSETEST,011NSETEST,,,,,0.0
PANAMAPET,PANAMA PETROCHEM LTD,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants,0.0
PANSARI,PANSARI DEVELOPERS LTD,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
PAR,PAR DRUGS AND CHEM LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
PARACABLES,PARAMOUNT COMM LTD,Industrials,Capital Goods,Industrial Products,Cables - Electricals,0.0
PARAGMILK,PARAG MILK FOODS LTD.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,0.0
PARAS,PARAS DEF AND SPCE TECH L,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
PARKHOSPS,PARK MEDI WORLD LIMITED,Healthcare,Healthcare,Healthcare Services,Hospital,0.0
PARKHOTELS,PARKHOTELS,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
PARSVNATH,PARSVNATH DEVELOPER LTD,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
PASHUPATI,PASHUPATI COTSPIN LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
PASUPTAC,PASUPATI ACRYLON LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,0.0
PATELENG,PATEL ENGINEERING LTD.,Industrials,Construction,Construction,Civil Construction,0.0
PATELRMART,PATEL RETAIL LIMITED,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,0.0
PATINTLOG,PATEL INT. LOG. LTD,Services,Services,Transport Services,Logistics Solution Provider,69585741.0
PAUSHAKLTD,PAUSHAK LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
PAVNAIND,PAVNA INDUSTRIES LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
PCJEWELLER,PC JEWELLER LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
PDMJEPAPER,PUDUMJEE PAPER PRO. LTD,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,0.0
PDSL,PDS LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products,0.0
PEARLPOLY,PEARL POLYMERS LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,0.0
PENIND,PENNAR INDUSTRIES LTD,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
PENINLAND,PENINSULA LAND LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
PFOCUS,PRIME FOCUS LIMITED,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,0.0
PFS,PTC INDIA FIN SERV LTD,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.0
PGHH,P&G HYGIENE & HEALTH CARE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,0.0
PGHL,PROCTER & GAMBLE HEALTH L,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
PGIL,PEARL GLOBAL IND LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
KREBSBIO,KREBS BIOCHEMICALS & IND,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
ACCURACY,ACCURACY SHIPPING LIMITED,Services,Services,Transport Services,Logistics Solution Provider,149390599.0
RADIOCITY,MUSIC BROADCAST LIMITED,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,0.0
ANIKINDS,ANIK INDUSTRIES LTD,Services,Services,Commercial Services & Supplies,Trading & Distributors,0.0
20MICRONS,20 MICRONS LTD,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,0.0
PHARMABEES,NIPPONAMC - NETFPHARMA,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
PICCADIL,PICCADILY AGRO INDUSTRI L,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,0.0
PIGL,POWER INSTRUMENT (G) LTD,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
PILANIINVS,PILANI INV & IND COR LTD,Financial Services,Financial Services,Finance,Investment Company,0.0
PILITA,PIL ITALICA LIFESTYLE LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,0.0
PIONEEREMB,PIONEER EMBROIDERIES LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
PITTIENG,PITTI ENGINEERING LIMITED,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
PIXTRANS,PIX TRANSMISSIONS LIMITED,Industrials,Capital Goods,Industrial Products,Rubber,0.0
PKTEA,THE P K TEA PROD CO LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,0.0
PLASTIBLEN,PLASTIBLENDS INDIA LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
PLATIND,PLATINUM INDUSTRIES LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
PLAZACABLE,PLAZA WIRES LIMITED,Industrials,Capital Goods,Industrial Products,Cables - Electricals,0.0
PNBGILTS,PNB GILTS LIMITED,Financial Services,Financial Services,Finance,Investment Company,0.0
PNCINFRA,PNC INFRATECH LTD.,Industrials,Construction,Construction,Civil Construction,0.0
PNGJL,P N GADGIL JEWELLERS LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
PNGSREVA,PNGS REVA DIAMOND JEWEL L,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
POCL,PONDY OXIDES & CHEM LTD,Commodities,Metals & Mining,Diversified Metals,Diversified Metals,0.0
PODDARMENT,PODDAR PIGMENTS LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,0.0
POKARNA,POKARNA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,0.0
POLYPLEX,POLYPLEX CORPORATION LTD,Industrials,Capital Goods,Industrial Products,Packaging,0.0
PONNIERODE,PONNIE SUGARS (ERODE) LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
POWERICA,POWERICA LIMITED,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,126551882.0
POWERMECH,POWER MECH PROJECTS LTD.,Industrials,Construction,Construction,Civil Construction,0.0
PPAP,PPAP AUTOMOTIVE LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
PPL,PRAKASH PIPES LIMITED,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,0.0
PRABHA,PRABHA ENERGY LIMITED,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,0.0
PRAENG,PRAJAY ENG. SYN. LTD.,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
PRAJIND,PRAJ INDUSTRIES LTD,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
PRAKASH,PRAKASH INDUSTRIES LTD,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,0.0
PRAKASHSTL,PRAKASH STEELAGE LTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
PRAXIS,PRAXIS HOME RETAIL LTD,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,0.0
PRECAM,PRECISION CAMSHAFTS LTD.,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
PRECWIRE,PRECISION WIRES INDIA LTD,Industrials,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products,0.0
PREMEXPLN,PREMIER EXPLOSIVES LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives,0.0
PREMIERPOL,PREMIER POLYFILM LTD,,,,,0.0
PRICOLLTD,PRICOL LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
PRIMESECU,PRIME SECURITIES LIMITED,Financial Services,Financial Services,Finance,Other Financial Services,0.0
PRIMO,PRIMO CHEMICALS LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,0.0
PRINCEPIPE,PRINCE PIPES FITTINGS LTD,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,0.0
PRITIKAUTO,PRITIKA AUTO INDUS LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
PRIVISCL,PRIVI SPECIALITY CHE LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
PROSTARM,PROSTARM INFO SYSTEMS LTD,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
PROTEAN,PROTEAN EGOV TECHNO LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
PROZONER,PROZONE REALTY LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
PRSMJOHNSN,PRISM JOHNSON LIMITED,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,0.0
PRUDENT,PRUDENT CORP ADV SER LTD,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,0.0
POWERGRID,POWER GRID CORP. LTD.,Utilities,Power,Power,Power - Transmission,0.0
AEPL,ARTEMIS ELECTRICALS & P L,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
SECURKLOUD,SECUREKLOUD TECH LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
CTE,CAMBRIDGE TECH ENTER LTD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,,,,,0.0
PRUDMOULI,PRUDENTIAL SUGAR CORPORAT,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
PSB,PUNJAB & SIND BANK,Financial Services,Financial Services,Banks,Public Sector Bank,0.0
PSPPROJECT,PSP PROJECTS LIMITED,Industrials,Construction,Construction,Civil Construction,0.0
PSUBANK,KOTAK PSU BANK,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
PSUBANKADD,DSPAMC - DSPPSBKETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
PSUBNKBEES,NIP IND ETF PSU BANK BEES,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
PSUBNKIETF,ICICIPRAMC - PSUBANKICI,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
PTC,PTC INDIA LIMITED,Utilities,Power,Power,Power Trading,0.0
PTL,PTL ENTERPRISES LTD,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
PUNJABCHEM,PUNJAB CHEM & CROP PROT L,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,0.0
PURVA,PURAVANKARA LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
PVP,PVP VENTURES LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
PVSL,POPULAR VEHICLES N SER L,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto Dealer,0.0
PVTBANIETF,ICICIPRAMC - ICICIBANKP,FINANCIAL SERVICES,FINANCIAL SERVICES,CAPITAL MARKETS,MUTUAL FUND SCHEME,0.0
PVTBANKADD,DSPAMC - DSPPVBKETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
PYRAMID,PYRAMID TECHNOPLAST LTD,Industrials,Capital Goods,Industrial Products,Packaging,0.0
QGOLDHALF,QUANTUM GOLD FUND,,,,,0.0
QNIFTY,QUANTUM NIFTY 50 ETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
QPOWER,QUALITY POWER ELEC EQUP L,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,77444094.0
QUADFUTURE,QUADRANT FUTURE TEK LTD,Industrials,Capital Goods,Industrial Products,Cables - Electricals,0.0
QUAL30IETF,ICICIPRAMC - ICICIQTY30,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
QUALITY30,KOTAKMAMC - QUALITY30,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
QUESS,QUESS CORP LIMITED,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
QUICKHEAL,QUICK HEAL TECH LTD,Information Technology,Information Technology,IT - Software,Software Products,0.0
RACE,RACE ECO CHAIN LIMITED,,,,,0.0
RACLGEAR,RACL GEARTECH LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
RADAAN,RADAAN MEDIAWORKS (I) LTD,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,0.0
REPCOHOME,REPCO HOME FINANCE LTD,Financial Services,Financial Services,Finance,Housing Finance Company,0.0
RADHIKAJWE,RADHIKA JEWELTECH LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
RADIANTCMS,RADIANT CASH MGMT SER LTD,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
RAIN,RAIN INDUSTRIES LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,0.0
RAJOOENG,RAJOO ENGINEERS LIMITED,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
RAJRATAN,RAJRATAN GLOBAL WIRE LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
RAJSREESUG,RAJSHREE SUGAR & CHEMICAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
RAJTV,RAJ TV NETWORK LTD,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,0.0
RALLIS,RALLIS INDIA LTD,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,0.0
RAMANEWS,SHREE RAMA NEWSPRINT LTD,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,0.0
RAMAPHO,RAMA PHOSPHATES LIMITED,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,0.0
RAMASTEEL,RAMA STEEL TUBES LIMITED,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
RAMCOIND,RAMCO INDUSTRIES LIMITED,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,0.0
RAMCOSYS,RAMCO SYSTEMS LTD.,Information Technology,Information Technology,IT - Software,Software Products,0.0
RAMKY,RAMKY INFRA LTD,Industrials,Construction,Construction,Civil Construction,0.0
RAMRAT,RAM RATNA WIRES LIMITED,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
RANASUG,RANA SUGARS LTD.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
RANEHOLDIN,RANE HOLDINGS LIMITED,Financial Services,Financial Services,Finance,Holding Company,0.0
RATEGAIN,RATEGAIN TRAVEL TECHN LTD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
RATNAMANI,RATNAMANI MET & TUB LTD.,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
RATNAVEER,RATNAVEER PRECISION ENG L,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
RAYMOND,RAYMOND LTD,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
RAYMONDLSL,RAYMOND LIFESTYLE LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
RAYMONDREL,RAYMOND REALTY LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
RBA,RESTAURANT BRAND ASIA LTD,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,0.0
RBZJEWEL,RBZ JEWELLERS LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
RCF,RASHTRIYA CHEMICALS & FER,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,0.0
REDTAPE,REDTAPE LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,0.0
REFEX,REFEX INDUSTRIES LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases,0.0
REGAAL,REGAAL RESOURCES LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,0.0
REGENCERAM,REGENCY CERAMICS LTD.,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,0.0
RELAXO,RELAXO FOOT LTD.,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,0.0
RELCHEMQ,RELIANCE CHEMOTEX IND LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
RELIABLE,RELIABLE DATA SERVICE LTD,Financial Services,Financial Services,Finance,Other Financial Services,0.0
RELIGARE,RELIGARE ENTER. LTD.,Financial Services,Financial Services,Finance,Investment Company,0.0
RELTD,RAVINDRA ENERGY LIMITED,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
REMSONSIND,REMSONS INDUSTRIES LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
RENUKA,SHREE RENUKA SUGARS LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
REPRO,REPRO INDIA LIMITED,Consumer Discretionary,Media Entertainment & Publication,Printing & Publication,Printing & Publication,0.0
RESPONIND,RESPONSIVE INDUSTRIES LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,0.0
RETAIL,JHS SVENDGAARD RETAIL V L,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,0.0
RGL,RENAISSANCE GLOBAL LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
RHETAN,RHETAN TMT LIMITED,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
RHL,ROBUST HOTELS LIMITED,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
RICOAUTO,RICO AUTO INDUSTRIES LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
RIIL,RELIANCE INDUSTRIAL INFRA,Services,Services,Transport Services,Logistics Solution Provider,15100000.0
RISHABH,RISHABH INSTRUMENTS LTD,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
RITCO,RITCO LOGISTICS LIMITED,Services,Services,Transport Services,Logistics Solution Provider,28470508.0
RKDL,RAVI KUMAR DIST. LTD.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,0.0
RKEC,RKEC PROJECTS LIMITED,Industrials,Construction,Construction,Civil Construction,0.0
RKSWAMY,R K SWAMY LIMITED,Consumer Discretionary,Media Entertainment & Publication,Media,Advertising & Media Agencies,0.0
RMDRIP,R M DRIP & SPRINK SYS LTD,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,0.0
RML,RANE (MADRAS) LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
ROHLTD,ROYAL ORCHID HOTELS LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
ROLEXRINGS,ROLEX RINGS LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
ROML,RAJ OIL MILLS LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,0.0
ROSSARI,ROSSARI BIOTECH LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
ROSSELLIND,ROSSELL INDIA LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,0.0
ROSSTECH,ROSSELL TECHSYS LIMITED,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
ROTO,ROTO PUMPS LIMITED,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,0.0
