stock symbol,name,macro,sector,industry,basic_industry,total_shares
INDIQUBE,INDIQUBE SPACES LIMITED,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
INDNIPPON,INDIA NIPPON ELECT  LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
INDOAMIN,INDO AMINES LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
INDOBORAX,INDO BORAX & CHEMICAL LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,0.0
INDOCO,INDOCO REMEDIES LTD.,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
INDOFARM,INDO FARM EQUIPMENT LTD,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,0.0
INDORAMA,INDO RAMA SYNTHETICS LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
INDOSTAR,INDOSTAR CAPITAL FIN LTD,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.0
INDOTECH,INDO TECH TRANSFORM LTD.,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,10620000.0
INDOTHAI,INDO THAI SEC LTD,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
INDOUS,INDO US BIOTECH LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,0.0
INDOWIND,INDOWIND ENERGY LTD,Utilities,Power,Power,Power Generation,0.0
INDRAMEDCO,INDRAPRASTHA MEDICAL CORP,Healthcare,Healthcare,Healthcare Services,Hospital,0.0
INDSWFTLAB,IND SWIFT LABORATORIES LT,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
INDTERRAIN,IND TERRAIN FASHIONS LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
INFOBEAN,INFOBEANS TECHNO. LTD.,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
INFOMEDIA,INFOMEDIA PRESS LIMITED,Consumer Discretionary,Media Entertainment & Publication,Printing & Publication,Printing & Publication,0.0
INFRA,MIRAEAMC - INFRA,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
INFRABEES,NIP IND ETF INFRA BEES,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
INFRAIETF,ICICIPRAMC - ICICIINFRA,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
INGERRAND,INGERSOLL-RAND INDIA LTD,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,0.0
INNOVACAP,INNOVA CAPTAB LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
GSS,GSS INFOTECH LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
5PAISA,5PAISA CAPITAL LIMITED,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
INNOVANA,INNOVANA THINKLABS LTD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
INNOVISION,INNOVISION LIMITED,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,23831528.0
INOXGREEN,INOX GREEN ENERGY SER LTD,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
INOXINDIA,INOX INDIA LIMITED,Industrials,Capital Goods,Industrial Products,Other Industrial Products,0.0
INSECTICID,INSECTICIDES (I) LTD,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,0.0
INTENTECH,INTENSE TECHNOLOGIES LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
INTERARCH,INTERARCH BLDNG SOLTN LTD,Industrials,Construction,Construction,Civil Construction,0.0
INTERNET,MIRAEAMC - INTERNET,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
INTLCONV,INTL CONVEYORS LIMITED,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
INVENTURE,INVENTURE GRO & SEC LTD,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
IOLCP,IOL CHEM AND PHARMA LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
IONEXCHANG,ION EXCHANGE (INDIA) LTD,Utilities,Utilities,Other Utilities,Water Supply & Management,0.0
IPL,INDIA PESTICIDES LIMITED,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,0.0
IRIS,IRIS REGTECH SOLUTION LTD,Information Technology,Information Technology,IT - Software,Software Products,0.0
IRISDOREME,IRIS CLOTHINGS LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
IRMENERGY,IRM ENERGY LIMITED,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,0.0
ISFT,INTRASOFT TECH. LTD,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,0.0
ISGEC,ISGEC HEAVY ENG LTD,Industrials,Construction,Construction,Civil Construction,0.0
ISHANCH,ISHAN DYES N CHEMICALS L,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
IT,KOTAKMAMC - KOTAKIT,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ITADD,DSPAMC - DSPIT,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ITBEES,NIP IND ETF IT,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ITBETA,UTIAMC-ITBETA,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
INDIGO,INTERGLOBE AVIATION LTD,Services,Services,Transport Services,Airline,386320469.0
MBLINFRA,MBL INFRASTRUCTURE LTD,Industrials,Construction,Construction,Civil Construction,0.0
BANKA,BANKA BIOLOO LIMITED,Industrials,Construction,Construction,Civil Construction,0.0
ITDC,INDIA TOUR. DEV. CO. LTD.,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
ITETF,MIRAEAMC - ITETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ITIETF,ICICIPRAMC - ICICITECH,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
IVALUE,IVALUE INFOSOLUTIONS LTD,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,0.0
IVC,IL&FS INVESTMENT MANAGERS,Financial Services,Financial Services,Capital Markets,Asset Management Company,0.0
IVP,IVP LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
IVZINGOLD,INVESCO INDIA GOLD ETF,,,,,0.0
IVZINNIFTY,INVESCO INDIA NIFTY ETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
IXIGO,LE TRAVENUES TECHNOLOGY L,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services,0.0
JAGRAN,JAGRAN PRAKASHAN LIMITED,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media,0.0
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
JAIBALAJI,JAI BALAJI INDUSTRIES LTD,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,0.0
JAICORPLTD,JAI CORP LIMITED,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,0.0
JAIPURKURT,NANDANI CREATION LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
JAMNAAUTO,JAMNA AUTO IND LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
JARO,JARO INS OF TEC MG N RE L,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning,0.0
JASH,JASH ENGINEERING LIMITED,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
